Net:-7.56857535999, Trade:3.66376109453, Cost:11.2323364545, Avg:-0.0605486028799 Std:0.0590586966547 Trades/Day:154.656, et:0, leb:2, bs:1, ueb:6,
Net:-4.57856811274, Trade:4.59398246044, Cost:9.17255057318, Avg:-0.0366285449019 Std:0.0491691256395 Trades/Day:109.2, et:0, leb:2, bs:2, ueb:6,
Net:-3.53817726499, Trade:4.24657752904, Cost:7.78475479403, Avg:-0.0283054181199 Std:0.0444899904325 Trades/Day:78.048, et:0, leb:2, bs:3, ueb:6,
Net:-2.8589958248, Trade:4.18110290544, Cost:7.04009873024, Avg:-0.0228719665984 Std:0.0434253997871 Trades/Day:61.04, et:0, leb:2, bs:4, ueb:6,
Net:-2.72906117559, Trade:4.02736126681, Cost:6.75642244239, Avg:-0.0218324894047 Std:0.0438883705169 Trades/Day:53.952, et:0, leb:2, bs:5, ueb:6,
Net:-2.70706539852, Trade:3.95993278478, Cost:6.6669981833, Avg:-0.0216565231882 Std:0.0435015365261 Trades/Day:51.816, et:0, leb:2, bs:6, ueb:6,
Net:-2.68440703701, Trade:3.95629283895, Cost:6.64069987597, Avg:-0.0214752562961 Std:0.0435983072293 Trades/Day:51.088, et:0, leb:2, bs:7, ueb:6,
Net:-2.66872281512, Trade:3.95872545458, Cost:6.6274482697, Avg:-0.021349782521 Std:0.043668121685 Trades/Day:50.792, et:0, leb:2, bs:8, ueb:6,
Net:-2.67945636989, Trade:3.94619369984, Cost:6.62565006973, Avg:-0.0214356509591 Std:0.0437000511756 Trades/Day:50.72, et:0, leb:2, bs:9, ueb:6,
Net:-5.83610666847, Trade:4.25684348263, Cost:10.0929501511, Avg:-0.0466888533478 Std:0.0543963688301 Trades/Day:129.08, et:1, leb:2, bs:1, ueb:6,
Net:-3.01324373293, Trade:4.35267818975, Cost:7.36592192268, Avg:-0.0241059498635 Std:0.0467398977645 Trades/Day:67.632, et:1, leb:2, bs:2, ueb:6,
Net:-2.67767195752, Trade:4.05407628825, Cost:6.73174824577, Avg:-0.0214213756602 Std:0.0439445207128 Trades/Day:53.144, et:1, leb:2, bs:3, ueb:6,
Net:-2.66569452038, Trade:3.96824931418, Cost:6.63394383456, Avg:-0.021325556163 Std:0.0438259363692 Trades/Day:50.968, et:1, leb:2, bs:4, ueb:6,
Net:-2.67371214414, Trade:3.95174895357, Cost:6.62546109771, Avg:-0.0213896971531 Std:0.0436776364491 Trades/Day:50.736, et:1, leb:2, bs:5, ueb:6,
Net:-2.6781520124, Trade:3.94730908344, Cost:6.62546109584, Avg:-0.0214252160992 Std:0.0437130801186 Trades/Day:50.704, et:1, leb:2, bs:6, ueb:6,
Net:-2.67953640265, Trade:3.94592469253, Cost:6.62546109517, Avg:-0.0214362912212 Std:0.0437128969836 Trades/Day:50.704, et:1, leb:2, bs:7, ueb:6,
Net:-2.67814440337, Trade:3.94592940754, Cost:6.6240738109, Avg:-0.0214251552269 Std:0.0437130820867 Trades/Day:50.688, et:1, leb:2, bs:8, ueb:6,
Net:-2.67814440337, Trade:3.94592940754, Cost:6.6240738109, Avg:-0.0214251552269 Std:0.0437130820867 Trades/Day:50.688, et:1, leb:2, bs:9, ueb:6,
Net:-2.69139755082, Trade:3.97667972087, Cost:6.66807727169, Avg:-0.0215311804066 Std:0.0440104253471 Trades/Day:51.896, et:2, leb:2, bs:1, ueb:6,
Net:-2.68037160846, Trade:3.94530652586, Cost:6.62567813433, Avg:-0.0214429728677 Std:0.0437014019367 Trades/Day:50.728, et:2, leb:2, bs:2, ueb:6,
Net:-2.67814440337, Trade:3.94592940754, Cost:6.6240738109, Avg:-0.0214251552269 Std:0.0437130820867 Trades/Day:50.688, et:2, leb:2, bs:3, ueb:6,
Net:-2.67814440337, Trade:3.94592940754, Cost:6.6240738109, Avg:-0.0214251552269 Std:0.0437130820867 Trades/Day:50.688, et:2, leb:2, bs:4, ueb:6,
Net:-2.67814440337, Trade:3.94592940754, Cost:6.6240738109, Avg:-0.0214251552269 Std:0.0437130820867 Trades/Day:50.688, et:2, leb:2, bs:5, ueb:6,
Net:-2.67814440337, Trade:3.94592940754, Cost:6.6240738109, Avg:-0.0214251552269 Std:0.0437130820867 Trades/Day:50.688, et:2, leb:2, bs:6, ueb:6,
Net:-2.67814440337, Trade:3.94592940754, Cost:6.6240738109, Avg:-0.0214251552269 Std:0.0437130820867 Trades/Day:50.688, et:2, leb:2, bs:7, ueb:6,
